score,total_pnl,max_drawdown,sharpe,win_rate,profit_factor,trade_count,avg_trade_minutes,max_trade_minutes,n_orders,tp_pct,step_min,step_max,step_mode,size_min,size_max,size_mode
0.05787,886.6447,451.6359,15.004,100.0,886644673913.9412,235,9981.2,1235473.0,30,4.5,3.56,8.41,back_heavy,33.33,33.33,flat
0.057865,342.9092,229.4077,12.2192,100.0,342909188252.7299,135,16048.9,1235450.0,34,5.0,3.7,9.93,random,29.41,29.41,flat
0.05767,238.5711,100.0682,25.8634,100.0,238571070850.7331,952,2507.9,161301.0,31,1.85,3.04,5.63,random,9.44,75.94,geometric_increase
0.057594,620.9826,195.4019,32.6214,100.0,620982569544.948,926,2579.6,267857.0,33,1.7,4.36,9.42,geometric,29.42,31.2,geometric_increase
0.05752,633.0594,376.4491,19.5493,100.0,633059430705.0386,430,5554.7,582738.0,36,2.5,3.77,7.04,geometric,13.01,43.58,random
0.057457,309.4932,170.0226,18.9097,100.0,309493236160.5006,3197,746.9,54821.0,32,1.3,2.99,3.4,back_heavy,3.25,59.25,pyramid
0.057446,301.5926,143.0543,26.7663,100.0,301592570915.6251,1699,1405.9,101871.0,30,1.35,3.48,5.11,random,9.31,57.35,pyramid
0.057441,454.7322,273.6849,11.4052,100.0,454732232820.9157,156,13878.9,1234873.0,35,6.0,5.45,6.62,random,12.36,50.76,random
0.057436,693.687,239.1514,39.3559,100.0,693686973517.273,939,2437.3,267852.0,30,1.4,3.8,7.67,linear,11.48,54.6,random
0.057403,284.1877,118.2762,18.063,100.0,284187748502.8716,2141,1115.6,78497.0,32,1.7,3.49,6.7,back_heavy,3.21,59.29,pyramid
0.057389,136.7077,42.0682,25.6478,100.0,136707667880.0102,434,5503.5,268610.0,35,2.7,3.69,8.5,front_heavy,8.92,65.27,geometric_increase
0.057283,380.543,167.723,17.2208,100.0,380543034462.7182,1206,1979.7,161355.0,35,2.5,2.55,4.9,linear,4.22,52.92,linear_increase
0.057274,542.6452,262.0284,18.8164,100.0,542645204252.3249,441,5413.8,526962.0,33,3.5,4.08,8.65,geometric,17.42,43.18,linear_increase
0.057092,454.995,172.3388,26.2681,100.0,454994992779.2058,794,3008.4,268569.0,31,1.95,4.65,5.91,front_heavy,15.85,48.24,random
0.057062,247.3435,78.4815,19.7769,100.0,247343509315.7842,586,4067.5,267796.0,34,2.9,4.34,7.44,geometric,7.91,72.21,geometric_increase
0.057002,1126.9271,362.1756,29.1861,100.0,1126927080008.291,1254,1904.9,267835.0,35,1.8,2.11,3.11,random,28.57,28.57,flat
0.056797,642.3903,317.9365,14.9206,100.0,642390298132.7905,202,11611.5,1234882.0,33,5.0,5.05,9.37,back_heavy,30.3,30.3,flat
0.056636,124.517,48.0365,27.5204,100.0,124516986512.331,691,3456.7,162078.0,30,1.9,6.28,8.4,random,7.67,87.62,geometric_increase
0.056602,152.4424,96.8302,12.7451,100.0,152442373375.9852,776,3076.8,159674.0,29,3.0,6.31,6.74,front_heavy,2.81,68.41,pyramid
0.056532,1219.6892,437.138,27.1287,100.0,1219689206743.899,1310,1823.4,267836.0,33,1.75,0.42,4.58,random,30.3,30.3,flat
0.056427,771.7975,248.0763,29.5145,100.0,771797478014.4497,2765,863.9,101036.0,34,1.25,0.87,2.52,front_heavy,13.6,45.23,linear_increase
0.056241,221.0258,122.6818,15.255,100.0,221025823252.1177,260,8405.3,526925.0,30,4.5,6.73,9.08,back_heavy,10.98,73.94,geometric_increase
0.056133,679.8865,240.295,34.745,100.0,679886455011.5345,981,2433.8,267856.0,30,1.45,2.33,6.67,random,20.05,50.13,random
0.056059,1010.0705,521.5783,18.7228,100.0,1010070531241.467,604,3954.8,530856.0,35,3.0,1.97,4.66,geometric,18.61,41.47,geometric_increase
0.055957,220.2026,93.5399,27.3029,100.0,220202617678.1711,927,2576.6,161637.0,36,1.75,2.14,5.7,front_heavy,10.27,45.29,linear_increase
0.055921,238.6725,105.5884,32.3816,100.0,238672482971.0034,977,2444.2,159681.0,30,1.5,5.01,7.29,front_heavy,14.01,52.65,pyramid
0.055817,487.6421,294.9856,19.7956,100.0,487642090966.3948,389,6140.6,573958.0,35,2.8,4.88,5.16,front_heavy,6.01,51.26,random
0.055632,974.9629,344.9336,28.2623,100.0,974962916092.5918,1180,2023.7,267907.0,29,1.65,1.47,5.21,random,4.53,58.5,random
0.055612,497.1555,166.0994,34.3755,100.0,497155467272.9886,843,2832.7,267836.0,33,1.6,5.48,8.67,linear,30.3,30.3,flat
0.055497,1148.4778,402.3559,29.1597,100.0,1148477802756.264,1283,1861.8,267831.0,30,1.65,1.55,4.05,random,33.33,33.33,flat
0.055434,112.2758,35.3531,22.9923,100.0,112275757252.4509,393,5968.4,268604.0,35,2.9,2.03,8.91,front_heavy,7.42,71.34,geometric_increase
0.055422,102.2835,70.3177,11.9144,100.0,102283471989.858,1841,1297.1,55724.0,34,2.2,3.43,6.68,geometric,0.44,58.38,linear_increase
0.055419,985.2483,537.7609,12.6423,100.0,985248288805.7274,247,9262.4,1234989.0,31,5.0,1.57,6.94,back_heavy,13.09,63.89,geometric_increase
0.055327,794.5339,402.2947,15.7858,100.0,794533868477.8971,212,10306.0,1235034.0,30,4.5,3.08,9.22,linear,33.33,33.33,flat
0.055112,173.5107,65.9316,22.1402,100.0,173510708805.6027,499,4787.0,268597.0,35,2.5,8.13,8.19,back_heavy,10.3,47.92,pyramid
0.055081,577.3039,364.0924,19.7926,100.0,577303867624.993,409,5624.1,575777.0,30,2.6,4.07,8.61,linear,33.33,33.33,flat
0.054983,41.0954,15.8383,16.1897,100.0,41095418326.1484,817,2922.3,79893.0,30,2.1,3.74,8.95,front_heavy,1.55,65.11,linear_increase
0.054831,193.8979,96.1869,20.1785,100.0,193897936005.0305,1388,1720.5,102310.0,35,1.7,3.71,5.89,random,5.0,53.53,pyramid
0.054537,1351.9479,433.8652,28.2232,100.0,1351947857877.705,1404,1701.2,267856.0,30,1.75,2.17,4.74,back_heavy,27.66,39.01,pyramid
0.054487,403.2376,150.5184,32.3978,100.0,403237578220.972,765,3122.3,268601.0,32,1.65,6.31,6.87,linear,26.79,35.71,pyramid
0.054177,580.334,326.0481,13.5832,100.0,580333969871.6622,1531,1559.4,161394.0,29,2.6,2.23,4.13,back_heavy,2.79,66.18,linear_increase
0.053806,641.9135,327.2881,23.0572,100.0,641913515123.3796,1617,1476.8,161304.0,29,1.7,2.08,3.4,random,12.31,73.28,geometric_increase
0.053615,1191.4088,545.8675,14.6851,100.0,1191408829322.8066,1327,1799.2,268199.0,32,2.7,1.09,2.33,front_heavy,7.99,54.51,pyramid
0.053599,421.6344,149.5449,34.9138,100.0,421634390638.0228,791,3019.7,267824.0,34,1.55,5.02,7.0,random,29.41,29.41,flat
0.053528,275.376,86.101,19.7394,100.0,275375972326.7292,1915,1247.3,89461.0,35,1.9,1.81,2.42,front_heavy,3.23,98.61,geometric_increase
0.053453,518.0408,189.7283,35.2687,100.0,518040847031.3481,878,2720.6,267833.0,30,1.5,5.24,5.76,front_heavy,33.33,33.33,flat
0.053319,321.3921,200.1096,14.3729,100.0,321392052606.8438,1169,2043.2,158632.0,32,2.4,4.03,4.31,back_heavy,4.49,58.01,pyramid
0.053187,359.0472,128.7391,23.5924,100.0,359047212221.4702,341,7005.0,575545.0,32,2.6,7.74,9.88,linear,31.25,31.25,flat
0.053039,459.6164,164.899,36.8541,100.0,459616418057.9738,830,2877.1,267829.0,31,1.5,5.34,7.26,random,32.26,32.26,flat
0.052847,362.1267,122.9709,21.2159,100.0,362126727382.2048,738,3235.1,267795.0,34,2.6,4.2,9.73,back_heavy,10.33,48.49,linear_increase
0.05271,232.2433,78.8255,30.377,100.0,232243314367.398,590,4046.6,268603.0,36,2.0,4.99,7.9,front_heavy,16.35,39.21,linear_increase
0.05268,878.2936,266.9992,31.7592,100.0,878293613448.013,1150,2077.1,268201.0,30,1.6,3.24,7.75,linear,6.13,54.66,random
0.052553,291.8241,120.4985,27.7554,100.0,291824092601.4623,1103,2165.0,161332.0,30,1.65,4.14,5.14,random,11.67,71.6,geometric_increase
0.052489,371.0692,141.1812,33.3369,100.0,371069191184.6537,691,3194.2,268567.0,35,1.65,3.2,9.0,random,28.57,28.57,flat
0.052323,275.6731,110.017,25.6144,100.0,275673104460.6,638,3700.5,268605.0,29,1.8,9.06,9.89,back_heavy,12.18,62.88,random
0.052267,619.0102,364.7101,23.5058,100.0,619010227581.4227,448,4878.1,530865.0,30,2.4,2.04,7.81,random,29.09,38.53,random
0.052243,1837.0053,588.6901,15.8028,100.0,1837005291566.0916,1324,1804.0,338290.0,35,2.9,1.21,1.97,linear,4.13,54.45,pyramid
0.052038,519.6703,185.2144,32.8075,100.0,519670307360.0956,891,2680.1,267830.0,35,1.65,0.89,5.75,front_heavy,28.57,28.57,flat
0.052019,794.5597,450.1757,10.2202,100.0,794559738458.6962,230,9996.3,1235435.0,33,5.5,2.41,9.54,geometric,1.92,59.43,random
0.051734,291.4254,90.3396,26.7331,100.0,291425391320.0792,1760,1356.8,101835.0,30,1.4,4.5,5.69,linear,8.14,58.53,pyramid
0.051719,159.5623,43.0557,19.805,100.0,159562306396.1188,2382,1002.8,55697.0,33,1.35,4.18,4.95,back_heavy,2.54,59.8,pyramid
0.051694,1688.3095,483.6973,18.1484,100.0,1688309466063.7822,619,3859.0,697389.0,32,3.0,0.44,5.71,linear,8.54,53.96,pyramid
0.051664,580.6564,215.0216,30.4739,100.0,580656401725.0153,945,2526.5,267852.0,35,1.6,4.21,8.99,back_heavy,28.57,28.57,flat
0.051511,429.261,151.0966,31.6802,100.0,429261034511.6469,752,2933.8,267823.0,32,1.8,6.21,6.85,linear,10.22,51.59,random
0.051388,638.9383,228.2917,28.1062,100.0,638938344989.5751,994,2401.9,267833.0,33,1.8,3.99,4.19,front_heavy,24.59,36.37,pyramid
0.05127,135.5437,53.4362,25.7838,100.0,135543665185.2326,449,5224.0,268606.0,29,2.2,2.71,9.8,front_heavy,11.42,57.55,linear_increase
0.051183,769.18,256.1574,31.1119,100.0,769180049668.1982,1093,2184.8,267834.0,34,1.65,3.58,4.75,linear,29.41,29.41,flat
0.051164,182.3046,49.3818,21.828,100.0,182304636180.3029,1399,1706.6,101873.0,36,1.85,2.97,4.26,front_heavy,4.05,51.51,linear_increase
0.051096,523.1331,184.1098,23.6695,100.0,523133125702.4921,902,2647.0,267835.0,32,2.1,3.45,7.99,back_heavy,15.91,53.88,geometric_increase
0.051045,527.019,264.2342,24.1908,100.0,527018987546.2518,4459,535.7,54429.0,33,1.15,1.64,1.9,front_heavy,4.56,56.05,linear_increase
0.05092,1201.6417,719.9927,14.3912,100.0,1201641721575.1797,297,8042.3,1235443.0,34,4.0,1.46,3.59,random,29.34,29.48,linear_increase
0.050778,154.896,79.4327,24.3962,100.0,154896042531.5257,826,2891.0,159675.0,35,1.75,1.63,7.58,front_heavy,8.47,49.85,pyramid
