score,total_pnl,max_drawdown,sharpe,win_rate,profit_factor,trade_count,avg_trade_minutes,max_trade_minutes,n_orders,tp_pct,step_min,step_max,step_mode,size_min,size_max,size_mode
1.802171,753.7704,185.0902,12.0682,100.0,753770402650.4062,486,4967.4,101589.0,16,3.742,0.494,7.485,front_heavy,7.09,39.64,pyramid
1.801928,1303.5292,337.0278,14.1277,100.0,1303529244619.962,231,9986.6,268603.0,26,5.266,0.604,5.534,front_heavy,50.0,316.38,random
1.787925,942.644,312.9628,12.6986,100.0,942643977997.2441,342,7058.9,162083.0,21,4.437,1.44,6.286,front_heavy,45.06,104.96,pyramid
1.783555,1068.2584,381.5691,10.9645,100.0,1068258373617.6296,374,6492.4,158891.0,30,4.853,0.629,3.823,front_heavy,12.61,33.71,linear_increase
1.78273,379.9564,126.43,9.7225,100.0,379956374161.7691,373,6481.5,94624.0,22,5.08,0.906,7.336,front_heavy,11.66,155.02,pyramid
1.780677,968.7541,250.7508,11.0195,100.0,968754082511.2598,201,11516.2,268611.0,26,6.568,1.217,7.114,linear,25.52,257.54,geometric_increase
1.780525,1003.1348,240.4803,12.841,100.0,1003134830190.9766,441,5482.0,130119.0,18,4.727,0.48,5.719,random,24.0,220.07,geometric_increase
1.77828,1253.8686,433.7084,12.7876,100.0,1253868638919.582,397,6116.2,162408.0,19,4.216,1.9,5.43,front_heavy,28.25,66.22,pyramid
1.776298,1486.8252,518.4417,8.7034,100.0,1486825180658.9077,260,9285.3,268637.0,23,6.596,0.61,3.858,front_heavy,49.11,228.43,geometric_increase
1.771541,2026.4944,551.2478,11.3774,100.0,2026494399547.5095,304,7952.9,268981.0,17,5.361,1.006,6.232,random,9.34,52.22,random
1.754459,784.0086,205.0808,13.472,100.0,784008610835.7286,190,12706.9,268613.0,25,5.521,0.566,7.596,front_heavy,6.49,131.91,flat
1.749646,981.8633,343.0059,11.2316,100.0,981863265571.2844,362,6707.8,158902.0,26,4.944,1.013,5.32,random,42.17,185.36,geometric_increase
1.746297,2073.8021,533.3498,10.4346,100.0,2073802134891.4543,312,7782.7,268199.0,17,6.267,1.881,4.588,linear,19.74,293.38,linear_increase
1.743172,507.4769,147.4785,11.5577,100.0,507476918444.35,254,9504.6,162171.0,25,5.728,1.897,6.218,front_heavy,35.76,168.36,linear_increase
1.740659,269.6701,75.4402,9.9778,100.0,269670115059.435,185,13064.8,162616.0,27,6.509,1.374,6.705,front_heavy,26.51,285.59,geometric_increase
1.739406,413.1206,124.5086,9.8386,100.0,413120648702.2536,233,10361.5,159683.0,30,6.757,1.536,5.551,front_heavy,16.6,125.81,linear_increase
1.738697,399.3192,74.823,8.0483,100.0,399319183155.1215,358,6753.1,102342.0,27,6.76,0.961,4.726,front_heavy,7.68,341.2,linear_increase
1.724022,1687.4151,386.4132,9.6894,100.0,1687415051609.4421,282,8561.0,267834.0,32,7.644,1.891,6.503,geometric,13.19,280.01,pyramid
1.722817,1023.3579,364.0975,10.5356,100.0,1023357917108.2625,363,6650.5,162087.0,20,5.076,1.53,5.995,random,29.79,244.94,geometric_increase
1.710105,2049.8117,501.0538,12.6114,100.0,2049811713003.5464,314,7736.7,267855.0,26,5.503,1.004,3.452,random,7.76,21.4,linear_increase
1.709095,580.1751,152.8973,9.2349,100.0,580175059944.9294,436,5536.8,102013.0,16,4.596,0.206,6.995,front_heavy,26.85,318.38,linear_increase
1.697141,656.4153,201.8523,8.9669,100.0,656415348967.0676,168,13656.5,268578.0,25,7.1,0.603,6.867,front_heavy,21.96,147.79,random
1.68969,946.6472,230.53,9.9831,100.0,946647237500.8472,204,11346.9,268577.0,33,7.243,1.852,4.397,linear,29.07,238.93,geometric_increase
1.687751,1186.1718,299.2469,11.8577,100.0,1186171782983.4888,239,10101.4,267793.0,26,6.214,1.615,4.541,front_heavy,34.99,69.3,geometric_increase
1.682876,1439.3741,478.729,10.7843,100.0,1439374138116.097,264,9158.0,267832.0,17,5.41,0.338,7.402,random,41.26,94.0,geometric_increase
1.681499,1592.1382,427.5509,11.2207,100.0,1592138201888.7886,277,8728.2,268575.0,31,6.13,0.331,4.312,random,7.28,41.4,linear_increase
1.676582,1594.2055,436.464,12.3685,100.0,1594205546499.9739,278,8684.7,267802.0,26,5.474,0.382,4.542,front_heavy,12.91,206.2,flat
1.672435,1903.1284,521.5008,9.4489,100.0,1903128410112.2715,305,7965.0,268686.0,19,6.689,0.892,5.589,random,9.72,83.56,pyramid
1.670327,1333.8155,325.9581,12.3232,100.0,1333815548471.3872,254,9504.8,268589.0,24,5.889,0.261,5.832,front_heavy,36.61,316.13,random
1.668667,1913.6971,452.2005,10.2705,100.0,1913697120871.7185,307,7909.5,267856.0,30,6.866,1.688,4.483,linear,13.24,220.04,pyramid
1.661752,1990.6638,537.4508,13.8534,100.0,1990663753078.7188,311,7763.1,268688.0,20,4.72,1.289,4.135,front_heavy,13.08,196.52,random
